Politics,Environment,We need to pass better laws to protect the environment.  ,Government regulations to protect the environment are harmful to us.
Politics,Religion,Religion has encroached too much into government dealings.,Religious belief has an important role to play in forming our nation's laws.
Politics,Corporatism,Corporations have too much power over our laws. ,Corporations should be able to play a major role in government.
Politics,Militarism,The military budget is too large. We don't need so many war machines.,A strong military is necessary and is one of the things our government does best.
Politics,Economy,The government needs to more tightly regulate corporations.,Government interference in the economy only slows us down.
Politics,Subsidies,,
Politics,Welfare,People struggling to stay alive should be helped by the government.,"If the government supports people, they will take advantage of it."
Politics,Climate Change,The government needs to pass laws to combat climate change.,Climate change is not something the government should be concerned with right now. 
Politics,Democracy,Our government is a high-functioning democracy.,Our government is corrupt and undemocratic.  
Politics,Free Speech,Free speech is protected in our society.,The government should pass more laws to protect free speech.
Politics,Education,Public education is well funded.,Public education is not funded well enough.
Politics,Drugs,Laws that criminalize drugs are necessary to our society.,Drugs should be decriminalized and addiction should be treated as a medical problem. 
Politics,Immigration,Immigration in this country should be expanded.,Immigration into this country should be more limited.
Politics,Prison,Prison is effective as a deterant and reformation system for those who break the law. ,The prison system is unjust and does not reform its inhabitants.
Politics,Gay Marriage,Gay marriage is a legal right that should be protected.,Legal marriage should only be between a man and a woman.
Politics,Trans Rights,Trans rights need to be protected.,Trans people don't deserve additional legal protections.
Politics,Racial Identity,Racism is a major problem in our institutions.,Racism is no longer a problem in our institutions.
Politics,Death Penalty,The death penalty should be abolished.,The death penalty should be kept as a punishment.
Politics,Health Care,Health care is a right that should be provided for all by the government.,Health care should be managed by private companies.
Politics,Confederate Flag,The confederate flag is a racist symbol and should not fly on government property. ,"The confederate flag is a symbol of heritage, not racism."
Politics,Term Limits,Congress members should have term limits.,Congress members should continue to not have term limits.
Politics,Guns,Guns should be more regulated to prevent mass shootings.,The government should not regulate guns more.
Politics,Covid,,
Politics,Political Correctness,,
Politics,US Constitution,,
Politics,Donald Trump,Donald Trump is one of the worst presidents we've ever had.  ,Donald Trump was a good president.
Politics,Barrack Obama,Barrack Obama is one of the worst presidents we've ever had.  ,Barrack Obama was a good president.
Politics,Two Party System,The two party system is an effective way to choose government representation.,The two party system is not a good waty to choose our representatives.
Politics,Electoral College,The electoral college is outdated and should be eliminated.,The electoral college makes sure all voices are heard in the presidential election.
Politics,China,,
Politics,taxes,,
Politics,nonprofits exemptions,,
Politics,Torture,Torture is an effective way to get information from terrorists.,Torture is ineffective and has no place in modern society. 
Politics,bank bailouts,,
Politics,stimulus packages,,
Politics,UBI,,
Politics,minimum wage,,
Politics,infrastructure,,
Politics,Copyright,,
Politics,police,The police are effective keepers of the peace. ,Corruption in police departments needs to be addressed and routed out.  
Politics,nuclear weapons,,
Politics,terrorism,,
Politics,oil drilling,We should open up more areas to oil drilling.,We need to have less oil drilling in favor of renewable resources.
Politics,fracking,The use of fracking should be expanded.,Fracking should be curtailed.
,,,
,,,
,,,
,,,
,,,
,,,
Business,Free Market,,
Business,Cancel Culture,,
Business,Stock Market,The stock market is efficient and well regulated.,The stock market is dangerous and corrupt.
Business,Open Spaces,,
Business,Remote Work,,
Business,Mergers / Monopolies,,
Business,Venture Capital,Venture capital investment is generally good for business.,Venture capital investment is generally bad for business. 
Business,Executive Pay / Bonuses,,
Business,China,,
Business,capitalism,Capitalism is the only effective way to organize our society.,Unchecked capitalism is leading to negative patterns within our society.
Business,Inequality,Inequality is not a problem as it provides incentive for innovation.,Widening inequality leads to greater suffering for all of us. 
Business,morality in business,,
Business,cryptocurrencies,Cryptocurrencies will one day be more important than traditional currencies.,Cryptocurrencies will never be that important for the economy as a whole.
Business,startups,,
Business,maximum wage,,
,,,
,,,
,,,
Local,Development,There is too much new development in my city.,My city could use more development.
Local,Gentrification,Gentrification has hurt my city.,Gentrification is not a problem in my city.
Local,Traffic Laws,,
Local,Open Spaces,,
Local,HS Sports,,
Local,HOA,,
Local,Graffiti,,
Local,Murals,,
Local,Crime,Crime is getting worse in my city.  ,Crime is not as bad as it once was in my city.
Local,Tourism,,
Local,City / Country,,
Local,capitalism,,
Local,big box stores,Big box stores have killed main street in my city.,Big box stores have made my life easier.
Local,bike lanes,We need more bike lanes in my city.,We don't need bike lanes in my city. 
Local,food,,
,,,
,,,
Technology,Privacy,,
Technology,Social Media,Social media has been harmful to our society,Social media has been beneficial to our society.
Technology,General,,
Technology,Censorship,,
Technology,Monopolies,,
Technology,Facial Recognition,,
Technology,Smartphone use,Smartphones have been harmful to individuals.,Smartphones have been beneficial to individuals.
Technology,AI,,
Technology,Space Colonization,,
Technology,Fake News,,
Technology,Sexism in Tech,,
Technology,Virality,,
Technology,Clickbait,,
Technology,Big Data,,
Technology,Net Neutrality,Net neutrality is vital to our modern freedoms.,Net neutrality does not affect me personally.
Technology,Piracy,,
Technology,Productivity,,
Technology,Open Source,,
Technology,Languages,,
Technology,Self-Driving Cars,Self-driving cars will be common in the near future.,Self-driving technology will not be good enough for everyday use any time soon.
Technology,Elon Musk,Elon Musk is a visionary.,Elon Musk is a hack.
Technology,Data Leaks,,
Technology,Apple,Apple hardware is the best.,Apple hardware is overpriced and buggy.
Technology,Linux,,
Technology,Augmented Reality,Augmented reality will be in everyday use in the near future.,Augmented reality will not catch on like some people think it will.
Technology,Right to Repair,We must fight for our right to repair our devices.,Big tech companies will never cede the right to repair. 
Technology,SEO,,
Technology,Vulnerability / Dependence,,
Technology,China,,
Technology,Security,,
Technology,capitalism,Capitalism and the desire for profit is essential to technological innovation.,Unchecked capitalism has led to a dire state of affairs in modern technology.
Technology,human brain equivalent to computer,,
Technology,automation / job loss,,
Technology,Vi vs Emacs,,
Technology,tabs spaces,,
Technology,IoT,,
Technology,Cloud,,
Technology,Analytics,,
Technology,Agile,,
Technology,project management,,
Technology,cryptocurrencies,,
Technology,jailbreaking phones,,
Technology,startups,,
,,,
Sports,Football,Football is a great sport.,Football isn't that great of a sport.
Sports,Soccer,Soccer is a great sport.,Soccer isn't that great of a sport.
Sports,Olympics,The Olympics are fun to watch.,The Olympics are more boring than other sporting events.
Sports,Tennis,Tennis is a great sport.,Tennis isn't that great of a sport.
Sports,Golf,Golf is a great sport.,Golf isn't that great of a sport.
Sports,Basketball,Basketball is a great sport.,Basketball isn't that great of a sport.
Sports,College Requirement,,
Sports,Teams,,
Sports,Ethnic Names,"Team names like the ""Chiefs"" are offensive and should be changed.",There is nothing wrong with ethnic team names.
Sports,shaking hands,,
Sports,College football playoff,,
Sports,Instant Replay,Instant replay has improved professional sports.,Instant replay has harmed professional sports.
Sports,Peyton Manning,,
Sports,Lebron James,,
Sports,Michael Jordan,,
